Hysteresis,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7
Executed Version,5.44.0,,,,,,
Vision Version,5.44.0 (R),,,,,,
Vision Compiled,2023-07-18 00:00:00,,,,,,
Driver Version,5.44.0,,,,,,
Windows Version,"Windows 8, 8.1 or 10",,,,,,
Processor Information,x86 (AMD or Intel) - 8 Processors,,,,,,
Tester Name,PPM20121-917 (10V),,,,,,
Tester S/N,PPM20121-917,,,,,,
Internal Amp Type,Internal TIB ,,,,,,
Internal Amp Serial,  iAB-TIB ,,,,,,
Execution Count,6669,,,,,,
Excel Date,10/18/2023 - 16:37:30,,,,,,
Configuration Date,2023-10-05 15:23:48,,,,,,
Execution Date,2023-10-08 17:50:24,,,,,,
,,,,,,,
Sample Info.,,,,,,,
Sample Name,Int. Ref. Ferroelectric,,,,,,
Lot Name,,,,,,,
Wafer Name,,,,,,,
Die Row/Column, 0/0,,,,,,
Capacitor ID,0,,,,,,
Area (cm2),0.000025,,,,,,
Thickness (µm),0.01,,,,,,
,,,,,,,
Amplifier,Internal,,,,,,
,,,,,,,
Tester Info,,,,,,,
52,0.0051,-0.003216655,10.58947575,26.4271756,1057087.024,0.298766811,-0.647916632
53,0.0052,-0.072392882,6.764342905,31.62353036,1264941.214,0.357513094,-0.77531597
54,0.0053,-0.258152603,3.233762144,38.45302518,1538121.007,0.434722495,-0.942755099
55,0.0054,-0.316605976,-1.581648885,47.80646373,1912258.549,0.540465804,-1.172073907
56,0.0055,-0.358245331,-6.349329668,51.5181457,2060725.828,0.582427435,-1.263073434
57,0.0056,-0.534522626,-11.91900867,55.22982766,2209193.107,0.624389066,-1.354072961
58,0.0057,-0.609333351,-16.16616692,48.99420196,1959768.078,0.553893526,-1.201193756
59,0.0058,-0.765852146,-20.24731584,38.3045579,1532182.316,0.433044029,-0.939115118
60,0.0059,-0.873002066,-22.58240843,22.2700918,890803.672,0.251769784,-0.545997162
61,0.006,-0.887143052,-23.64900075,11.72891501,469156.6006,0.132598753,-0.287558505
62,0.0061,-1.037710134,-24.50327931,10.39270951,415708.3803,0.117492566,-0.254798676
63,0.0062,-1.176754015,-25.81943228,11.1350459,445401.836,0.125884892,-0.272998581
64,0.0063,-1.21250052,-26.3984703,6.235625704,249425.0282,0.07049554,-0.152879205
65,0.0064,-1.362853822,-27.53272761,9.501905835,380076.2334,0.107421775,-0.232958789
66,0.0065,-1.457380442,-28.3410454,10.39270951,415708.3803,0.117492566,-0.254798676
67,0.0066,-1.531468059,-28.76196039,8.165700327,326628.0131,0.092315588,-0.200198959
68,0.0067,-1.602003799,-29.87342125,9.650373113,386014.9245,0.10910024,-0.23659877
69,0.0068,-1.749880384,-31.20695009,11.28351318,451340.5272,0.127563357,-0.276638562
70,0.0069,-1.779933299,-32.35833991,7.571831212,302873.2485,0.085601727,-0.185639035
71,0.007,-1.896965603,-32.62149022,11.43198046,457279.2183,0.129241823,-0.280278543
72,0.0071,-1.994383358,-33.4265566,8.611102163,344444.0865,0.097350983,-0.211118903
73,0.0072,-2.084505235,-34.97844081,10.68964406,427585.7626,0.120849497,-0.262078638
74,0.0073,-2.249477615,-35.97822872,11.1350459,445401.836,0.125884892,-0.272998581
75,0.0074,-2.294241841,-37.16144171,9.947307671,397892.3068,0.11245717,-0.243878732
76,0.0075,-2.308756801,-37.62555271,-4.45401836,-178160.7344,-0.050353957,-0.109199432
77,0.0076,-2.18110387,-36.70377547,10.09577495,403830.998,0.114135636,0.247518713
78,0.0077,-2.124473871,-36.47871851,4.157083803,166283.3521,0.046997026,0.10191947
79,0.0078,-2.006415463,-34.64283636,9.798840392,391953.6157,0.110778705,0.240238751
80,0.0079,-1.870570506,-34.71133369,6.68102754,267241.1016,0.075530935,0.163799149
81,0.008,-1.807927173,-34.07888289,7.126429376,285057.175,0.080566331,0.174719092
82,0.0081,-1.659272445,-33.09207117,9.650373113,386014.9245,0.10910024,0.23659877
83,0.0082,-1.595571303,-32.45936245,7.423363933,296934.5573,0.083923261,0.181999054
84,0.0083,-1.42652018,-31.41370829,7.868765769,314750.6308,0.088958657,0.192918997
85,0.0084,-1.345164712,-30.74188396,9.353438556,374137.5422,0.105743309,0.229318808
86,0.0085,-1.301001693,-29.68307785,8.314167605,332566.7042,0.093994053,0.20383894
87,0.0086,-1.196318854,-28.81132262,8.759569441,350382.7777,0.099029449,0.214758884
88,0.0087,-1.092874072,-27.49111806,9.056503999,362260.16,0.102386379,0.222038846
89,0.0088,-1.023844209,-26.74289469,6.384092983,255363.7193,0.072174005,0.156519186
90,0.0089,-0.878254552,-25.7073026,10.83811134,433524.4537,0.122527962,0.265718619
91,0.009,-0.750235884,-25.10238643,7.720298491,308811.9396,0.087280192,0.189279016
